Lake Name,Municipality,Geographic Township,MNRF District,Coordinates,Waterbody ID,Fish Species
Aberarder Creek,Town of Plympton-Wyoming,Plympton,Aylmer,"43.062, -82.109",17-4091-47723,"['Northern Pike', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Aberfoyle Creek,Township of Puslinch,Puslinch,Guelph,"43.458, -80.161",17-5664-48106,['Brook Trout']
Ague Lake,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.051, -81.404",17-4682-49883,"['Brown Trout', 'Largemouth Bass', 'Smallmouth Bass']"
Albemarle Brook,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.861, -81.177",17-4802-49642,not available
Alder Creek,Township of North Dumfries,Dumfries,Guelph,"43.307, -80.294",17-5568-47942,['Brook Trout']
Alder Creek,Township of Wilmot,Wilmot,Guelph,"43.367, -80.541",17-5392-47959,"['Black Crappie', 'Brook Trout', 'Brown Trout', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Alder Lake,Township of Wilmot,Wilmot,Guelph,"43.356, -80.537",17-5375-48001,"['Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'White Sucker']"
Aljoe Creek,Municipality of West Grey,Bentinck,Midhurst,"44.136, -80.94",17-5034-48894,not available
Allan Park Trout Pond,Municipality of West Grey,Bentinck,Midhurst,"44.147, -80.926",17-5067-48865,"['Brook Trout', 'Rainbow Trout']"
Allans Creek,Township of Ashfield-Colborne-Wawanosh,Colborne,Guelph,"43.77, -81.682",17-4410-48479,['White Sucker']
Allens Creek,Municipality of Brockton,Greenock,Midhurst,"44.124, -81.241",17-4813-48865,not available
Allingham Creek,Township of Oro-Medonte,Oro,Midhurst,"44.485, -79.496",17-6219-49265,"['Brook Trout', 'Rainbow Smelt', 'White Sucker']"
Alps Creek,Municipality of South Bruce,Culross,Midhurst,"43.961, -81.338",17-4733-48699,"['Brook Trout', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Amabel L. 3,Town of South Bruce Peninsula,Amabel,Midhurst,"44.75, -81.221",17-4825-49550,"['Rock Bass', 'Yellow Perch']"
Ancaster Creek,City of Hamilton,Ancaster,Guelph,"43.235, -79.975",17-5855-47895,"['Pumpkinseed', 'Rainbow Trout']"
Andrews Creek,Municipality of Kincardine,Kincardine,Midhurst,"44.254, -81.604",17-4508-48996,not available
Appleby Creek,City of Burlington,Nelson,Aurora,"43.372, -79.752",17-6018-48016,"['Pumpkinseed', 'White Sucker']"
Arkwright Creek,Municipality of Arran-Elderslie,Arran,Midhurst,"44.513, -81.175",17-4867-49254,"['Brook Trout', 'Pumpkinseed', 'White Sucker']"
Arran Lake,Municipality of Arran-Elderslie,Arran,Midhurst,"44.482, -81.258",17-4793-49252,"['Brown Bullhead', 'Channel Catfish', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Artemesia L. B,Municipality of Grey Highlands,Artemesia,Midhurst,"44.295, -80.456",17-5434-49046,"['Brown Trout', 'Rainbow Trout']"
Avon River,Township of Perth South,Downie,Guelph,"43.305, -81.167",17-4865-47939,"['Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Baby Creek,Township of St. Clair,Moore,Aylmer,"42.834, -82.463",17-3801-47431,"['Largemouth Bass', 'White Sucker', 'Yellow Bullhead']"
Baden Creek,Township of Wilmot,Wilmot,Guelph,"43.392, -80.661",17-5284-48014,['White Sucker']
Baden P.s,Township of Wilmot,Wilmot,Guelph,"43.401, -80.668",17-5269-48052,"['Largemouth Bass', 'Rainbow Trout']"
Baird Creek,Township of Southwold,Southwold,Aylmer,"42.782, -81.377",17-4646-47366,"['Bluegill', 'Brown Bullhead', 'Common Carp', 'Northern Pike', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Crappie', 'White Sucker', 'Yellow Bullhead']"
Bannister Lake,Township of North Dumfries,Dumfries,Guelph,"43.296, -80.385",17-5499-47936,"['Black Crappie', 'Brown Bullhead', 'Northern Pike', 'Pumpkinseed']"
Baptiste Creek,Municipality of Chatham-Kent,Tilbury East,Aylmer,"42.298, -82.425",17-3805-46839,"['Black Crappie', 'Bluegill', 'Largemouth Bass', 'Pumpkinseed', 'White Bass', 'White Crappie']"
Barney Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.211, -81.675",17-4471-50062,['Yellow Perch']
Barrhead Creek,Municipality of West Grey,Artemesia,Midhurst,"44.285, -80.652",17-5267-49054,not available
Barrhead Mill Pond,Municipality of West Grey,Glenelg,Midhurst,"44.303, -80.663",17-5269-49053,['Brook Trout']
Barrie's Lake,Township of North Dumfries,Dumfries,Guelph,"43.359, -80.354",17-5527-48015,['Brown Bullhead']
Bartley Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.215, -81.488",17-4616-50067,"['Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Bass Lake,Township of Georgian Bluffs,Keppel,Midhurst,"44.71, -80.997",17-5001-49504,"['Bluegill', 'Brown Bullhead', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Bass Lake,Township of Oro-Medonte,Oro,Midhurst,"44.602, -79.509",17-6187-49397,"['Black Crappie', 'Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Battlefield Creek,City of Hamilton,Saltfleet,Guelph,"43.219, -79.766",17-6014-47874,"['Pumpkinseed', 'White Sucker']"
Bear Creek,Township of St. Clair,Moore,Aylmer,"42.831, -82.251",17-3895-47319,"['Bluegill', 'Brown Bullhead', 'Channel Catfish', 'Pumpkinseed', 'Rock Bass', 'White Crappie', 'White Sucker', 'Yellow Bullhead']"
Beattie Lake,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.831, -81.265",17-4790-49639,"['Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Beatty Saugeen River,Town of Hanover,Bentinck,Midhurst,"44.135, -81.026",17-4979-48866,"['Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Beaver Creek,Town of Richmond Hill,Markham,Aurora,"43.867, -79.394",17-6340-48563,"['Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'White Sucker']"
Beaver Dams Creek,City of Niagara Falls,Stamford,Guelph,"43.098, -79.142",17-6465-47733,['White Sucker']
Beaver Lake,Township of Severn,Orillia,Midhurst,"44.788, -79.42",17-6250-49603,"['Brown Bullhead', 'Muskellunge', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Yellow Perch']"
Beaver River,Township of Brock,Brock,Aurora,"44.253, -79.057",17-6460-49213,"['Pumpkinseed', 'Brook Trout', 'Common Carp', 'Lake Whitefish', 'Largemouth Bass', 'Northern Pike', 'Brown Bullhead', 'Rainbow Smelt', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Bechtel Creek,Township of North Dumfries,Dumfries,Guelph,"43.37, -80.379",17-5500-48034,"['Brook Trout', 'Smallmouth Bass', 'White Sucker']"
Beeton Creek,Town of New Tecumseth,Tecumseth,Midhurst,"44.074, -79.803",17-5974-48853,"['Brown Bullhead', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Belgrave Creek,Municipality of Morris-Turnberry,Morris,Guelph,"43.819, -81.361",17-4638-48514,"['Brook Trout', 'Brown Trout', 'Coho Salmon', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Bells Lake,Municipality of West Grey,Glenelg,Midhurst,"44.323, -80.735",17-5209-49075,"['Bluegill', 'Brook Trout', 'Cisco', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Belmore Creek,Municipality of South Bruce,Culross,Midhurst,"43.971, -81.218",17-4813-48680,"['Brook Trout', 'Rock Bass', 'White Sucker']"
Belwood Cons. Area Kids P.,Township of Centre Wellington,Garafraxa,Guelph,"43.731, -80.337",17-5534-48420,not available
Bentinck L. D,Municipality of West Grey,Bentinck,Midhurst,"44.198, -80.999",17-5001-48936,['Smallmouth Bass']
Bentinck L. E1,Municipality of West Grey,Bentinck,Midhurst,"44.181, -80.996",17-5003-48917,['Pumpkinseed']
Berczy Creek,Town of Richmond Hill,Whitchurch,Aurora,"43.957, -79.4",17-6353-48582,"['Brown Bullhead', 'Brown Trout', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Berford Lake,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.811, -81.178",17-4859-49615,"['Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Berry Creek,City of Toronto,Etobicoke,Aurora,"43.72, -79.579",17-6173-48415,not available
Bester Lake,Municipality of Brockton,Greenock,Midhurst,"44.184, -81.311",17-4752-48922,"['Northern Pike', 'Smallmouth Bass', 'Yellow Perch']"
Bethel Creek,Township of Wellington North,Arthur,Guelph,"43.971, -80.643",17-5187-48661,['Brook Trout']
Big Bay Creek,Township of Georgian Bluffs,Keppel,Midhurst,"44.78, -80.943",17-5040-49587,not available
Big Creek,Norfolk County,Charlotteville,Aylmer,"42.785, -80.499",17-5451-47163,"['Northern Pike', 'Black Crappie', 'Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Coho Salmon', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Bowfin', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Big Creek,County of Brant,Onondaga,Guelph,"43.11, -80.06",17-5787-47722,"['Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'White Crappie', 'White Sucker']"
Big Creek,Town of Amherstburg,Malden,Aylmer,"42.055, -83.064",17-3303-46553,"['Black Crappie', 'Brown Bullhead', 'Common Carp', 'Northern Pike', 'Pumpkinseed', 'Sauger', 'Yellow Perch']"
Big Creek,Town of Lakeshore,Tilbury West,Aylmer,"42.267, -82.47",17-3805-46857,"['Common Carp', 'Pumpkinseed', 'White Bass', 'White Crappie', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Big Mud Lake,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.796, -81.164",17-4870-49600,"['Northern Pike', 'Rock Bass', 'Yellow Perch']"
Big Otter Creek,Municipality of Bayham,Bayham,Aylmer,"42.692, -80.817",17-5150-47218,"['Brook Trout', 'Brown Trout', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Rainbow Trout', 'Rock Bass', 'White Bass', 'White Perch', 'White Sucker']"
Bill's Creek,Municipality of Grey Highlands,Euphrasia,Midhurst,"44.382, -80.548",17-5365-49143,not available
Black Ash Creek,Township of Clearview,Nottawasaga,Midhurst,"44.484, -80.265",17-5610-49275,not available
Black Creek,Town of Grand Valley,Luther,Guelph,"43.974, -80.396",17-5508-48681,"['Bluegill', 'Brown Bullhead', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Black Creek,Municipality of Bluewater,Hay,Guelph,"43.421, -81.507",17-4554-47989,"['Brook Trout', 'Common Carp', 'Pumpkinseed', 'Rock Bass', 'White Sucker']"
Black Creek,Town of Halton Hills,Esquesing,Aurora,"43.629, -79.948",17-5874-48315,"['Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Coho Salmon', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Black Creek,City of Toronto,York,Aurora,"43.773, -79.518",17-6182-48375,"['Brown Bullhead', 'Brown Trout', 'Common Carp', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Black Creek,Norfolk County,Woodhouse,Aylmer,"42.8, -80.184",17-5654-47369,not available
Black Creek,Town of Caledon,Caledon,Aurora,"43.816, -79.95",17-5844-48518,"['Brook Trout', 'Brown Trout', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Black Creek,Municipality of Northern Bruce Peninsula,Eastnor,Midhurst,"44.99, -81.342",17-4711-49791,not available
Black River,Town of Georgina,Georgina,Aurora,"44.314, -79.357",17-6316-49082,"['Largemouth Bass', 'Black Crappie', 'Bowfin', 'Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Common Carp', 'Bluegill', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Black's Creek,Municipality of West Grey,Glenelg,Midhurst,"44.278, -80.747",17-5195-49012,"['Brook Trout', 'Rock Bass']"
Black's Creek,Municipality of Grey Highlands,Osprey,Midhurst,"44.343, -80.452",17-5406-49096,"['Brook Trout', 'Rock Bass']"
Black's Lake,Township of Chatsworth,Holland,Midhurst,"44.339, -80.739",17-5208-49093,"['Brook Trout', 'Rock Bass']"
Blair Creek,Township of North Dumfries,Dumfries,Guelph,"43.371, -80.406",17-5500-48035,"['Bluegill', 'Brook Trout', 'Brown Trout', 'Smallmouth Bass', 'White Sucker']"
Blue Creek,County of Brant,Dumfries,Guelph,"43.214, -80.244",17-5623-47849,"['Brown Trout', 'Pumpkinseed', 'Rock Bass', 'White Sucker']"
